Year,Avg_Tmp
58,53.6
85,51.9
118,53.7
25,53.1
5,51.7
84,51.0
103,53.9
94,54.7
82,51.0
41,51.5
31,49.9
1,53.5
89,52.2
42,49.7
46,52.0
107,53.3
86,52.7
83,53.5
122,54.0
2,52.1
111,51.1
11,51.2
19,52.5
20,51.3
34,55.3
37,51.4
99,53.9
51,50.4
21,54.4
123,53.9
72,52.3
105,54.2
7,52.4
55,49.6
63,50.9
40,53.8
26,53.9
38,52.0
93,50.3
110,53.4
96,54.3
113,52.3
47,51.6
29,49.3
59,51.7
8,50.1
61,52.3
56,51.5
66,52.4
43,52.2
114,53.2
22,51.2
3,50.6
4,51.8
120,53.1
65,50.5
70,51.6
102,54.8
35,51.9
57,51.7
104,54.7
33,50.5
6,51.2
116,54.4
75,50.8
77,53.2
52,51.1
121,54.5
62,50.6
81,54.3
68,50.3
28,50.7
91,51.8
23,50.8
9,51.8
10,54.5
15,53.2
16,51.1
24,51.5
27,52.5
30,49.4
36,52.2
50,51.6
60,51.9
64,48.3
67,51.9
73,51.4
76,51.6
79,52.7
88,53.3
90,53.4
92,53.6
97,53.8
101,53.5
108,53.1
109,54.4
112,53.5
117,54.7
119,53.5
